date,mkt_rf,smb,hml,rf
2019-05-28,-0.00780000,0.00290000,-0.00630000,0.00010000
2019-05-29,-0.00710000,-0.00290000,0.00410000,0.00010000
2019-05-30,0.00140000,-0.00270000,-0.00770000,0.00010000
2019-05-31,-0.01370000,-0.00220000,-0.00110000,0.00010000
2019-06-03,-0.00340000,0.00180000,0.01680000,0.00010000
2019-06-04,0.02320000,0.00430000,-0.00030000,0.00010000
2019-06-05,0.00700000,-0.00980000,-0.00970000,0.00010000
2019-06-06,0.00550000,-0.01040000,0.00020000,0.00010000
2019-06-07,0.01040000,0.00040000,-0.01190000,0.00010000
2019-06-10,0.00540000,-0.00040000,0.00070000,0.00010000
2019-06-11,-0.00120000,-0.00260000,0.00570000,0.00010000
2019-06-12,-0.00200000,0.00420000,-0.01000000,0.00010000
2019-06-13,0.00520000,0.00660000,-0.00040000,0.00010000
2019-06-14,-0.00270000,-0.00780000,0.00300000,0.00010000
2019-06-17,0.00150000,0.00640000,-0.01130000,0.00010000
2019-06-18,0.01040000,0.00160000,0.00350000,0.00010000
2019-06-19,0.00320000,0.00110000,-0.00600000,0.00010000
2019-06-20,0.00900000,-0.00370000,-0.00220000,0.00010000
2019-06-21,-0.00210000,-0.00470000,-0.00030000,0.00010000
2019-06-24,-0.00350000,-0.00900000,0.00080000,0.00010000
2019-06-25,-0.00980000,0.00340000,0.00720000,0.00010000
2019-06-26,-0.00070000,-0.00050000,0.00270000,0.00010000
2019-06-27,0.00590000,0.01420000,-0.00100000,0.00010000
2019-06-28,0.00680000,0.00630000,0.00620000,0.00010000
2019-07-01,0.00750000,-0.00530000,-0.00130000,0.00010000
2019-07-02,0.00140000,-0.00810000,-0.00810000,0.00010000
2019-07-03,0.00790000,-0.00040000,-0.00320000,0.00010000
2019-07-05,-0.00100000,0.00160000,0.00910000,0.00010000
2019-07-08,-0.00580000,-0.00450000,0.00060000,0.00010000
2019-07-09,0.00190000,-0.00150000,-0.00430000,0.00010000
2019-07-10,0.00400000,-0.00150000,-0.00360000,0.00010000
2019-07-11,0.00190000,-0.00790000,0.00040000,0.00010000
2019-07-12,0.00530000,0.00180000,0.00410000,0.00010000
2019-07-15,-0.00050000,-0.00350000,-0.01060000,0.00010000
2019-07-16,-0.00320000,0.00350000,0.00110000,0.00010000
2019-07-17,-0.00640000,-0.00140000,-0.00650000,0.00010000
2019-07-18,0.00350000,-0.00290000,0.00010000,0.00010000
2019-07-19,-0.00570000,0.00160000,0.00860000,0.00010000
2019-07-22,0.00250000,-0.00440000,-0.00480000,0.00010000
2019-07-23,0.00640000,-0.00230000,0.00800000,0.00010000
2019-07-24,0.00660000,0.00750000,0.00860000,0.00010000
2019-07-25,-0.00630000,-0.00660000,-0.00110000,0.00010000
2019-07-26,0.00820000,0.00390000,-0.00190000,0.00010000
2019-07-29,-0.00320000,-0.00340000,-0.00460000,0.00010000
